Variable,Statistic Value,P value,Normal
Fx,1.0,0.0,False
Fy,1.0,0.0,False
Fz,1.0,0.0,False
Cx,1.0,0.0,False
Cy,1.0,0.0,False
Cz,1.0,0.0,False
Mx,1.0,0.0,False
My,1.0,0.0,False
Mz,1.0,0.0,False
AnkleAngles_x,1.0,0.0,False
AnkleAngles_y,0.9495403965854179,0.0,False
AnkleAngles_z,0.9999455823233663,0.0,False
KneeAngles_x,1.0,0.0,False
KneeAngles_y,0.9777948092831408,0.0,False
KneeAngles_z,0.9998408914098424,0.0,False
HipAngles_x,1.0,0.0,False
HipAngles_y,0.9999995888519162,0.0,False
HipAngles_z,0.9983233140711337,0.0,False
FootProgressAngles_x,1.0,0.0,False
FootProgressAngles_y,0.9900803301408475,0.0,False
FootProgressAngles_z,0.9798462002663885,0.0,False
PelvisAngles_x,0.9115019229659391,0.0,False
PelvisAngles_y,0.9698628392014966,0.0,False
PelvisAngles_z,0.9826510497659197,0.0,False
AnkleForce_x,0.9999999999999994,0.0,False
AnkleForce_y,0.6170574243395284,0.0,False
AnkleForce_z,0.9795733400542469,0.0,False
KneeForce_x,0.9998282028962541,0.0,False
KneeForce_y,0.7399518472293631,0.0,False
KneeForce_z,0.9999999999999999,0.0,False
HipForce_x,0.9803779879336137,0.0,False
HipForce_y,0.7364720858550936,0.0,False
HipForce_z,0.9999999999999999,0.0,False
AnkleMoment_x,1.0,0.0,False
AnkleMoment_y,1.0,0.0,False
AnkleMoment_z,1.0,0.0,False
KneeMoment_x,1.0,0.0,False
KneeMoment_y,1.0,0.0,False
KneeMoment_z,1.0,0.0,False
HipMoment_x,1.0,0.0,False
HipMoment_y,1.0,0.0,False
HipMoment_z,1.0,0.0,False
AnklePower_z,0.985661554653958,0.0,False
KneePower_z,0.9433272442771072,0.0,False
HipPower_z,0.9223774909108424,0.0,False
AnkleAngles_x',1.0,0.0,False
AnkleAngles_y',1.0,0.0,False
AnkleAngles_z',1.0,0.0,False
KneeAngles_x',1.0,0.0,False
KneeAngles_y',1.0,0.0,False
KneeAngles_z',1.0,0.0,False
HipAngles_x',1.0,0.0,False
HipAngles_y',1.0,0.0,False
HipAngles_z',1.0,0.0,False
FootProgressAngles_x',1.0,0.0,False
FootProgressAngles_y',1.0,0.0,False
FootProgressAngles_z',1.0,0.0,False
PelvisAngles_x',1.0,0.0,False
PelvisAngles_y',1.0,0.0,False
PelvisAngles_z',1.0,0.0,False
AnkleForce_x',1.0,0.0,False
AnkleForce_y',0.9999609244034022,0.0,False
AnkleForce_z',1.0,0.0,False
KneeForce_x',1.0,0.0,False
KneeForce_y',1.0,0.0,False
KneeForce_z',1.0,0.0,False
HipForce_x',1.0,0.0,False
HipForce_y',1.0,0.0,False
HipForce_z',1.0,0.0,False
AnkleMoment_x',1.0,0.0,False
AnkleMoment_y',1.0,0.0,False
AnkleMoment_z',1.0,0.0,False
KneeMoment_x',1.0,0.0,False
KneeMoment_y',1.0,0.0,False
KneeMoment_z',1.0,0.0,False
HipMoment_x',1.0,0.0,False
HipMoment_y',1.0,0.0,False
HipMoment_z',1.0,0.0,False
AnklePower_z',1.0,0.0,False
KneePower_z',1.0,0.0,False
HipPower_z',1.0,0.0,False
AnkleAngles_x'',1.0,0.0,False
AnkleAngles_y'',1.0,0.0,False
AnkleAngles_z'',1.0,0.0,False
KneeAngles_x'',1.0,0.0,False
KneeAngles_y'',1.0,0.0,False
KneeAngles_z'',1.0,0.0,False
HipAngles_x'',1.0,0.0,False
HipAngles_y'',1.0,0.0,False
HipAngles_z'',1.0,0.0,False
FootProgressAngles_x'',1.0,0.0,False
FootProgressAngles_y'',1.0,0.0,False
FootProgressAngles_z'',1.0,0.0,False
PelvisAngles_x'',1.0,0.0,False
PelvisAngles_y'',1.0,0.0,False
PelvisAngles_z'',1.0,0.0,False
AnkleForce_x'',1.0,0.0,False
AnkleForce_y'',1.0,0.0,False
AnkleForce_z'',1.0,0.0,False
KneeForce_x'',1.0,0.0,False
KneeForce_y'',1.0,0.0,False
KneeForce_z'',1.0,0.0,False
HipForce_x'',1.0,0.0,False
HipForce_y'',1.0,0.0,False
HipForce_z'',1.0,0.0,False
AnkleMoment_x'',1.0,0.0,False
AnkleMoment_y'',1.0,0.0,False
AnkleMoment_z'',1.0,0.0,False
KneeMoment_x'',1.0,0.0,False
KneeMoment_y'',1.0,0.0,False
KneeMoment_z'',1.0,0.0,False
HipMoment_x'',1.0,0.0,False
HipMoment_y'',1.0,0.0,False
HipMoment_z'',1.0,0.0,False
AnklePower_z'',1.0,0.0,False
KneePower_z'',1.0,0.0,False
HipPower_z'',1.0,0.0,False
