Variable,Statistic Value,P value,Normal
Fx,0.9567739963531494,2.258889011792725e-18,False
Fy,0.9863795638084412,3.653253255464506e-09,False
Fz,0.9279167056083679,1.383848830020011e-23,False
Cx,0.9567739963531494,2.258889011792725e-18,False
Cy,0.9863795638084412,3.653253255464506e-09,False
Cz,0.9279167056083679,1.383848830020011e-23,False
Mx,0.9567739963531494,2.258889011792725e-18,False
My,0.9863795638084412,3.653253255464506e-09,False
Mz,0.9279167056083679,1.383848830020011e-23,False
AnkleAngles_x,0.9649761915206909,1.976648526509048e-16,False
AnkleAngles_y,0.9714372158050537,1.162623108544444e-14,False
AnkleAngles_z,0.9764114022254944,4.2182303114889075e-13,False
KneeAngles_x,0.9927980899810791,1.3705728633794934e-05,False
KneeAngles_y,0.9381139278411865,5.875941397936417e-22,False
KneeAngles_z,0.968174934387207,1.3828544488634644e-15,False
HipAngles_x,0.977843701839447,1.3020576370564863e-12,False
HipAngles_y,0.9822908639907837,6.027375820671921e-11,False
HipAngles_z,0.9595420360565186,9.493563470799674e-18,False
FootProgressAngles_x,0.9872144460678101,9.226484465330032e-09,False
FootProgressAngles_y,0.8855297565460205,6.664465710992609e-29,False
FootProgressAngles_z,0.8900342583656311,2.0326346485085524e-28,False
PelvisAngles_x,0.9748269319534302,1.2767915793642642e-13,False
PelvisAngles_y,0.9840137362480164,3.1387623056211567e-10,False
PelvisAngles_z,0.9674344062805176,8.71177568476225e-16,False
AnkleForce_x,0.9565966129302979,2.065030136254185e-18,False
AnkleForce_y,0.9520351886749268,2.2394630369984353e-19,False
AnkleForce_z,0.9799989461898804,7.796394606296442e-12,False
KneeForce_x,0.9902733564376831,3.8325441664710524e-07,False
KneeForce_y,0.9636462926864624,9.131888012383724e-17,False
KneeForce_z,0.9854246973991394,1.3182218649987476e-09,False
HipForce_x,0.9822417497634888,5.7591167945680866e-11,False
HipForce_y,0.9357665777206421,2.3848991823580535e-22,False
HipForce_z,0.970098614692688,4.7605157459823e-15,False
AnkleMoment_x,0.9934113025665283,3.5644439776660874e-05,False
AnkleMoment_y,0.5305138230323792,0.0,False
AnkleMoment_z,0.9455222487449646,1.2084145051674367e-20,False
KneeMoment_x,0.9842458367347717,3.952823346420331e-10,False
KneeMoment_y,0.9935026168823242,4.1230850911233574e-05,False
KneeMoment_z,0.958613395690918,5.820156940847635e-18,False
HipMoment_x,0.9860814809799194,2.6456830060084258e-09,False
HipMoment_y,0.9298639893531799,2.741430485162335e-23,False
HipMoment_z,0.8958250284194946,8.990946833724235e-28,False
AnklePower_z,0.9806792140007019,1.4074246976192306e-11,False
KneePower_z,0.9558477401733398,1.4179610710493724e-18,False
HipPower_z,0.904403567314148,9.193235537281987e-27,False
AnkleAngles_x',0.9547470808029175,8.227779437427142e-19,False
AnkleAngles_y',0.9344370365142822,1.446688606205703e-22,False
AnkleAngles_z',0.9592985510826111,8.344035536618407e-18,False
KneeAngles_x',0.9962554574012756,0.005200040526688099,False
KneeAngles_y',0.9195662140846252,8.564224044105996e-25,False
KneeAngles_z',0.8564467430114746,1.0276220985651172e-31,False
HipAngles_x',0.9351536631584167,1.8922258858774953e-22,False
HipAngles_y',0.9123551845550537,9.197892589961911e-26,False
HipAngles_z',0.8653548955917358,6.629745350643332e-31,False
FootProgressAngles_x',0.95940101146698,8.809163330960037e-18,False
FootProgressAngles_y',0.9529371857643127,3.4314817399816913e-19,False
FootProgressAngles_z',0.965427815914154,2.5813831993387235e-16,False
PelvisAngles_x',0.9806151986122131,1.3305602279689577e-11,False
PelvisAngles_y',0.9271175861358643,1.0495395969208425e-23,False
PelvisAngles_z',0.982401967048645,6.683327502532421e-11,False
AnkleForce_x',0.942976176738739,4.137979900025757e-21,False
AnkleForce_y',0.8111293315887451,2.6288171932417184e-35,False
AnkleForce_z',0.9175188541412354,4.477689868941852e-25,False
KneeForce_x',0.9635674357414246,8.728634816786162e-17,False
KneeForce_y',0.9422136545181274,3.0227146560023146e-21,False
KneeForce_z',0.9443626403808594,7.383964255067415e-21,False
HipForce_x',0.8774905800819397,9.889389210643025e-30,False
HipForce_y',0.8064203262329102,1.223045335803268e-35,False
HipForce_z',0.948415994644165,4.276059770274299e-20,False
AnkleMoment_x',0.9720163941383362,1.7261255833424076e-14,False
AnkleMoment_y',0.6652450561523438,1.891752926838503e-43,False
AnkleMoment_z',0.9485213756561279,4.4818083460672204e-20,False
KneeMoment_x',0.9086175560951233,3.0565454234214116e-26,False
KneeMoment_y',0.9336497187614441,1.0798655084875461e-22,False
KneeMoment_z',0.9207952618598938,1.2717033382146152e-24,False
HipMoment_x',0.8249385356903076,2.7168016252655093e-34,False
HipMoment_y',0.8747715353965759,5.303139508310974e-30,False
HipMoment_z',0.9136624336242676,1.363676113464364e-25,False
AnklePower_z',0.961897075176239,3.4071347746655046e-17,False
KneePower_z',0.9290578365325928,2.0621597146164365e-23,False
HipPower_z',0.7277383804321289,2.076626233236876e-40,False
AnkleAngles_x'',0.9144651889801025,1.7407002269416518e-25,False
AnkleAngles_y'',0.8816227912902832,2.603679437218241e-29,False
AnkleAngles_z'',0.900280237197876,2.9498754438169924e-27,False
KneeAngles_x'',0.7714214324951172,6.342223600192478e-38,False
KneeAngles_y'',0.764257550239563,2.3427883030313462e-38,False
KneeAngles_z'',0.8168504238128662,6.800559687574592e-35,False
HipAngles_x'',0.7498375773429871,3.391912997821436e-39,False
HipAngles_y'',0.833957314491272,1.353642172728336e-33,False
HipAngles_z'',0.8004090785980225,4.7045358828149266e-36,False
FootProgressAngles_x'',0.9553879499435425,1.1282659803186276e-18,False
FootProgressAngles_y'',0.9076120853424072,2.2860378601984324e-26,False
FootProgressAngles_z'',0.8847699761390686,5.540544754815474e-29,False
PelvisAngles_x'',0.9395206570625305,1.021165674332454e-21,False
PelvisAngles_y'',0.8388453125953674,3.328074299727446e-33,False
PelvisAngles_z'',0.9137760400772095,1.4114643210265213e-25,False
AnkleForce_x'',0.8099197149276733,2.1565927583069667e-35,False
AnkleForce_y'',0.7253540754318237,1.5535355294890652e-40,False
AnkleForce_z'',0.5932669639587402,0.0,False
KneeForce_x'',0.2103596329689026,0.0,False
KneeForce_y'',0.45570993423461914,0.0,False
KneeForce_z'',0.8117544651031494,2.9132581275481626e-35,False
HipForce_x'',0.40898531675338745,0.0,False
HipForce_y'',0.5484352707862854,0.0,False
HipForce_z'',0.7925949096679688,1.4056681837728659e-36,False
AnkleMoment_x'',0.5606433153152466,0.0,False
AnkleMoment_y'',0.7735080122947693,8.5167518308991e-38,False
AnkleMoment_z'',0.7807955741882324,2.4268550005031206e-37,False
KneeMoment_x'',0.2485070824623108,0.0,False
KneeMoment_y'',0.5719362497329712,0.0,False
KneeMoment_z'',0.7869683504104614,6.023867310445363e-37,False
HipMoment_x'',0.2804078459739685,0.0,False
HipMoment_y'',0.42449426651000977,0.0,False
HipMoment_z'',0.4775819778442383,0.0,False
AnklePower_z'',0.9001885056495667,2.8773886407211067e-27,False
KneePower_z'',0.2829200029373169,0.0,False
HipPower_z'',0.2874927520751953,0.0,False
