Variable,Statistic Value,P value,Normal
Fx,0.9588403811750218,0.0,False
Fy,1.0,0.0,False
Fz,0.9120810956471954,0.0,False
Cx,0.9588403811750218,0.0,False
Cy,1.0,0.0,False
Cz,0.9120810956471954,0.0,False
Mx,0.9588403811750218,0.0,False
My,1.0,0.0,False
Mz,0.9120810956471954,0.0,False
AnkleAngles_x,0.9964867855814361,0.0,False
AnkleAngles_y,0.5516094160752574,0.0,False
AnkleAngles_z,0.6283872520531855,0.0,False
KneeAngles_x,0.9999999999977418,0.0,False
KneeAngles_y,0.43888184881731873,2.9736463251436668e-211,False
KneeAngles_z,0.6665098520364336,0.0,False
HipAngles_x,1.0,0.0,False
HipAngles_y,0.7899698168797904,0.0,False
HipAngles_z,0.48943942085577063,5.374679721721144e-266,False
FootProgressAngles_x,1.0,0.0,False
FootProgressAngles_y,0.8326145841992293,0.0,False
FootProgressAngles_z,0.34219756819295255,3.696400057423358e-126,False
PelvisAngles_x,0.8539220811116504,0.0,False
PelvisAngles_y,0.777980576745265,0.0,False
PelvisAngles_z,0.7250858654726403,0.0,False
AnkleForce_x,0.9999999999999942,0.0,False
AnkleForce_y,0.4881411581876398,1.7024025062117164e-264,False
AnkleForce_z,0.9001078978034434,0.0,False
KneeForce_x,0.994915074251009,0.0,False
KneeForce_y,0.4984958192561043,1.310249856853797e-276,False
KneeForce_z,0.6979535940952035,0.0,False
HipForce_x,0.8947822094339466,0.0,False
HipForce_y,0.49399476323250857,2.6529574341985843e-271,False
HipForce_z,0.9153435125367075,0.0,False
AnkleMoment_x,1.0,0.0,False
AnkleMoment_y,0.9803779879336137,0.0,False
AnkleMoment_z,0.9974474662212428,0.0,False
KneeMoment_x,1.0,0.0,False
KneeMoment_y,0.9999997416426024,0.0,False
KneeMoment_z,0.9966716825491664,0.0,False
HipMoment_x,1.0,0.0,False
HipMoment_y,1.0,0.0,False
HipMoment_z,0.9979991772235078,0.0,False
AnklePower_z,0.9578598641394944,0.0,False
KneePower_z,0.5257329102758564,4.3494220524561e-310,False
HipPower_z,0.8262814731151846,0.0,False
AnkleAngles_x',1.0,0.0,False
AnkleAngles_y',1.0,0.0,False
AnkleAngles_z',1.0,0.0,False
KneeAngles_x',1.0,0.0,False
KneeAngles_y',0.9999359283705112,0.0,False
KneeAngles_z',1.0,0.0,False
HipAngles_x',1.0,0.0,False
HipAngles_y',0.999650536881662,0.0,False
HipAngles_z',1.0,0.0,False
FootProgressAngles_x',1.0,0.0,False
FootProgressAngles_y',1.0,0.0,False
FootProgressAngles_z',0.9999997133484281,0.0,False
PelvisAngles_x',0.9844273099047278,0.0,False
PelvisAngles_y',0.9988432388471735,0.0,False
PelvisAngles_z',0.9870028473926628,0.0,False
AnkleForce_x',1.0,0.0,False
AnkleForce_y',0.9940901092942857,0.0,False
AnkleForce_z',1.0,0.0,False
KneeForce_x',1.0,0.0,False
KneeForce_y',0.999991460094529,0.0,False
KneeForce_z',1.0,0.0,False
HipForce_x',0.9999999998774194,0.0,False
HipForce_y',0.9986501019683699,0.0,False
HipForce_z',1.0,0.0,False
AnkleMoment_x',1.0,0.0,False
AnkleMoment_y',1.0,0.0,False
AnkleMoment_z',1.0,0.0,False
KneeMoment_x',1.0,0.0,False
KneeMoment_y',1.0,0.0,False
KneeMoment_z',1.0,0.0,False
HipMoment_x',1.0,0.0,False
HipMoment_y',1.0,0.0,False
HipMoment_z',1.0,0.0,False
AnklePower_z',1.0,0.0,False
KneePower_z',1.0,0.0,False
HipPower_z',1.0,0.0,False
AnkleAngles_x'',1.0,0.0,False
AnkleAngles_y'',1.0,0.0,False
AnkleAngles_z'',1.0,0.0,False
KneeAngles_x'',1.0,0.0,False
KneeAngles_y'',1.0,0.0,False
KneeAngles_z'',1.0,0.0,False
HipAngles_x'',1.0,0.0,False
HipAngles_y'',1.0,0.0,False
HipAngles_z'',1.0,0.0,False
FootProgressAngles_x'',1.0,0.0,False
FootProgressAngles_y'',1.0,0.0,False
FootProgressAngles_z'',1.0,0.0,False
PelvisAngles_x'',1.0,0.0,False
PelvisAngles_y'',1.0,0.0,False
PelvisAngles_z'',1.0,0.0,False
AnkleForce_x'',1.0,0.0,False
AnkleForce_y'',1.0,0.0,False
AnkleForce_z'',1.0,0.0,False
KneeForce_x'',1.0,0.0,False
KneeForce_y'',1.0,0.0,False
KneeForce_z'',1.0,0.0,False
HipForce_x'',1.0,0.0,False
HipForce_y'',1.0,0.0,False
HipForce_z'',1.0,0.0,False
AnkleMoment_x'',1.0,0.0,False
AnkleMoment_y'',1.0,0.0,False
AnkleMoment_z'',1.0,0.0,False
KneeMoment_x'',1.0,0.0,False
KneeMoment_y'',1.0,0.0,False
KneeMoment_z'',1.0,0.0,False
HipMoment_x'',1.0,0.0,False
HipMoment_y'',1.0,0.0,False
HipMoment_z'',1.0,0.0,False
AnklePower_z'',1.0,0.0,False
KneePower_z'',1.0,0.0,False
HipPower_z'',1.0,0.0,False
