Variable,Statistic Value,P value,Normal
Fx,0.934526264667511,1.4957057722834951e-22,False
Fy,0.9826170802116394,8.172833937392099e-11,False
Fz,0.8751077651977539,5.724686076527152e-30,False
Cx,0.934526264667511,1.4957057722834951e-22,False
Cy,0.9826170802116394,8.172833937392099e-11,False
Cz,0.8751077651977539,5.724686076527152e-30,False
Mx,0.934526264667511,1.4957057722834951e-22,False
My,0.9826170802116394,8.172833937392099e-11,False
Mz,0.8751077651977539,5.724686076527152e-30,False
AnkleAngles_x,0.9747239947319031,1.1834771444091396e-13,False
AnkleAngles_y,0.9855731129646301,1.5403438524685953e-09,False
AnkleAngles_z,0.9863359332084656,3.483779487112315e-09,False
KneeAngles_x,0.9655320048332214,2.7462494274945045e-16,False
KneeAngles_y,0.9679428935050964,1.1954888551066818e-15,False
KneeAngles_z,0.9804521203041077,1.1538719632553374e-11,False
HipAngles_x,0.9931624531745911,2.4073640815913677e-05,False
HipAngles_y,0.9873616695404053,1.0903458580457936e-08,False
HipAngles_z,0.9748898148536682,1.3374769499384376e-13,False
FootProgressAngles_x,0.9497305750846863,7.724052940011344e-20,False
FootProgressAngles_y,0.903197705745697,6.567894118754816e-27,False
FootProgressAngles_z,0.8661680817604065,7.89744688893734e-31,False
PelvisAngles_x,0.9771773815155029,7.662820573385576e-13,False
PelvisAngles_y,0.9951161742210388,0.0006300309323705733,False
PelvisAngles_z,0.9891247749328613,8.841475818144318e-08,False
AnkleForce_x,0.9475527405738831,2.917481853228441e-20,False
AnkleForce_y,0.9107957482337952,5.783584263029589e-26,False
AnkleForce_z,0.9750469923019409,1.5026738534040796e-13,False
KneeForce_x,0.9839498996734619,2.947097843541968e-10,False
KneeForce_y,0.965077817440033,2.0985200240066908e-16,False
KneeForce_z,0.8969560861587524,1.211027445332616e-27,False
HipForce_x,0.9864150881767273,3.797414382944453e-09,False
HipForce_y,0.8644232749938965,5.431073542607011e-31,False
HipForce_z,0.9416424036026001,2.3937738549200154e-21,False
AnkleMoment_x,0.9925881624221802,9.96659309748793e-06,False
AnkleMoment_y,0.899401068687439,2.3258506454902064e-27,False
AnkleMoment_z,0.9595780968666077,9.67717275136807e-18,False
KneeMoment_x,0.9652369022369385,2.3051988424635983e-16,False
KneeMoment_y,0.9841191172599792,3.484268706888116e-10,False
KneeMoment_z,0.9697793126106262,3.863030975290692e-15,False
