Variable,Statistic Value,P value,Normal
Fx,0.4798900276002252,4.456145659817806e-255,False
Fy,0.4343049235627781,1.1633879766669852e-206,False
Fz,1.0,0.0,False
Cx,0.4798900276002252,4.456145659817806e-255,False
Cy,0.4343049235627781,1.1633879766669852e-206,False
Cz,1.0,0.0,False
Mx,0.4798900276002252,4.456145659817806e-255,False
My,0.4343049235627781,1.1633879766669852e-206,False
Mz,1.0,0.0,False
AnkleAngles_x,0.9360203853393383,0.0,False
AnkleAngles_y,0.31839613493331687,7.282784404263798e-109,False
AnkleAngles_z,0.4542568752314906,4.1022546844716043e-227,False
KneeAngles_x,0.9217351143740402,0.0,False
KneeAngles_y,0.5001235060191213,1.5237788719073592e-278,False
KneeAngles_z,0.4829675261925911,1.4468047099888858e-258,False
HipAngles_x,0.7534710276474497,0.0,False
HipAngles_y,0.5381482522879626,0.0,False
HipAngles_z,0.5591699839132097,0.0,False
FootProgressAngles_x,1.0,0.0,False
FootProgressAngles_y,0.45547039453924554,2.1500896128130072e-228,False
FootProgressAngles_z,0.6271838978108468,0.0,False
PelvisAngles_x,0.8287800391302962,0.0,False
PelvisAngles_y,0.19877653472749424,4.247409518739255e-42,False
PelvisAngles_z,0.2964601807654471,3.884900160706793e-94,False
AnkleForce_x,0.9999999886465194,0.0,False
AnkleForce_y,0.27262317571521055,2.0096540925158234e-79,False
AnkleForce_z,0.41144639190076737,1.3660948099650546e-184,False
KneeForce_x,0.7544803813948026,0.0,False
KneeForce_y,0.17748333740202454,1.359638741067078e-33,False
KneeForce_z,0.9999995446180352,0.0,False
HipForce_x,0.2878302696157686,1.175008108306666e-88,False
HipForce_y,0.15533334883200867,8.559311323817296e-26,False
HipForce_z,0.9999721115735595,0.0,False
AnkleMoment_x,1.0,0.0,False
AnkleMoment_y,0.7906804274788931,0.0,False
AnkleMoment_z,0.7506686745798893,0.0,False
KneeMoment_x,0.6860652161180236,0.0,False
KneeMoment_y,0.7823954169824947,0.0,False
KneeMoment_z,0.7002078913078815,0.0,False
HipMoment_x,0.8051653506444514,0.0,False
HipMoment_y,0.9127661734689586,0.0,False
HipMoment_z,0.4651933815071585,8.283290139573976e-239,False
AnklePower_z,0.434388588533729,9.600665972041353e-207,False
KneePower_z,0.5282166416443819,2.9231232691e-313,False
HipPower_z,0.47277996215814966,3.980615135983741e-247,False
AnkleAngles_x',0.988283262028413,0.0,False
AnkleAngles_y',0.3225154187721675,9.28827553602056e-112,False
AnkleAngles_z',0.5535192839114034,0.0,False
KneeAngles_x',0.9999999999994198,0.0,False
KneeAngles_y',0.44654247686135107,4.517273519651254e-219,False
KneeAngles_z',0.5247231114368753,8.36504406269094e-309,False
HipAngles_x',1.0,0.0,False
HipAngles_y',0.9116182934226768,0.0,False
HipAngles_z',0.7608199880114156,0.0,False
FootProgressAngles_x',1.0,0.0,False
FootProgressAngles_y',0.6825900909914184,0.0,False
FootProgressAngles_z',0.5507740453044827,0.0,False
PelvisAngles_x',0.5002332998811587,1.1275578817217652e-278,False
PelvisAngles_y',0.914652894530166,0.0,False
PelvisAngles_z',0.8231416519195183,0.0,False
AnkleForce_x',0.43850491530527863,7.140307802239309e-211,False
AnkleForce_y',0.4174156482437982,3.2357934514385123e-190,False
AnkleForce_z',0.5199476770860152,8.901194652879782e-303,False
KneeForce_x',0.438116099101288,1.7608390562410212e-210,False
KneeForce_y',0.3269163954976552,6.7639001901551865e-115,False
KneeForce_z',0.43866573084063837,4.914274855580842e-211,False
HipForce_x',0.3008022643127692,5.825120894251757e-97,False
HipForce_y',0.3312336824022202,5.085232110270995e-118,False
HipForce_z',0.3718236952117175,1.1976492468930398e-149,False
AnkleMoment_x',0.9667203877378036,0.0,False
AnkleMoment_y',0.6812430942180789,0.0,False
AnkleMoment_z',0.4962861749404468,5.372824810338905e-274,False
KneeMoment_x',0.9991680532445923,0.0,False
KneeMoment_y',0.6929771896204607,0.0,False
KneeMoment_z',0.48057394788026087,7.518989020372506e-256,False
HipMoment_x',0.997504159733777,0.0,False
HipMoment_y',0.6913186546730485,0.0,False
HipMoment_z',0.6735646118045846,0.0,False
AnklePower_z',0.4563348232894218,2.6162458244260384e-229,False
KneePower_z',0.6514151156386133,0.0,False
HipPower_z',0.7404551819533502,0.0,False
AnkleAngles_x'',0.805293542726147,0.0,False
AnkleAngles_y'',0.9032558292734408,0.0,False
AnkleAngles_z'',0.9158612506778446,0.0,False
KneeAngles_x'',1.0,0.0,False
KneeAngles_y'',0.5769167367233226,0.0,False
KneeAngles_z'',0.8105387913605302,0.0,False
HipAngles_x'',1.0,0.0,False
HipAngles_y'',0.9890634169454151,0.0,False
HipAngles_z'',0.5671253715666474,0.0,False
FootProgressAngles_x'',0.9590561183711201,0.0,False
FootProgressAngles_y'',0.8888967700011927,0.0,False
FootProgressAngles_z'',0.7133360244464053,0.0,False
PelvisAngles_x'',0.6387480305492503,0.0,False
PelvisAngles_y'',0.774147963862905,0.0,False
PelvisAngles_z'',0.6712809530500973,0.0,False
AnkleForce_x'',0.9658039196104254,0.0,False
AnkleForce_y'',0.44632503752176855,7.569802788441045e-219,False
AnkleForce_z'',0.6156922637763391,0.0,False
KneeForce_x'',0.543609255067774,0.0,False
KneeForce_y'',0.3896257730960955,7.729441879253632e-165,False
KneeForce_z'',0.9166657626475526,0.0,False
HipForce_x'',0.6430507275026375,0.0,False
HipForce_y'',0.4597297042689926,6.370143107474945e-233,False
HipForce_z'',0.9316371157865813,0.0,False
AnkleMoment_x'',0.5956605311228643,0.0,False
AnkleMoment_y'',0.5156069248367381,2.3085373236829892e-297,False
AnkleMoment_z'',0.5199666730234004,8.426003007280789e-303,False
KneeMoment_x'',0.5574043261231281,0.0,False
KneeMoment_y'',0.5632279533619803,0.0,False
KneeMoment_z'',0.5770963100509102,0.0,False
HipMoment_x'',0.5973377703826955,0.0,False
HipMoment_y'',0.6530782029950081,0.0,False
HipMoment_z'',0.5296131539289987,4.71017172e-315,False
AnklePower_z'',0.6416984001397079,0.0,False
KneePower_z'',0.6367697603955824,0.0,False
HipPower_z'',0.5213891825807014,1.3740971930790887e-304,False
