Variable,Statistic Value,P value,Normal
Fx,0.9811957171343512,0.0,False
Fy,1.0,0.0,False
Fz,1.0,0.0,False
Cx,0.9811957171343512,0.0,False
Cy,1.0,0.0,False
Cz,1.0,0.0,False
Mx,0.9811957171343512,0.0,False
My,1.0,0.0,False
Mz,1.0,0.0,False
AnkleAngles_x,0.9034279162678803,0.0,False
AnkleAngles_y,0.4541172158483293,5.756069522339486e-227,False
AnkleAngles_z,0.6929832658781813,0.0,False
KneeAngles_x,0.6294132988241733,0.0,False
KneeAngles_y,0.7548648558200268,0.0,False
KneeAngles_z,0.6061095839346988,0.0,False
HipAngles_x,0.7452113620526988,0.0,False
HipAngles_y,0.802789902223675,0.0,False
HipAngles_z,0.7323678734348056,0.0,False
FootProgressAngles_x,1.0,0.0,False
FootProgressAngles_y,0.49630868551108015,5.054300202319919e-274,False
FootProgressAngles_z,0.7959919222211148,0.0,False
PelvisAngles_x,0.7997692512250734,0.0,False
PelvisAngles_y,0.8616359950011879,0.0,False
PelvisAngles_z,0.7098967509684919,0.0,False
AnkleForce_x,0.5047818518024723,3.9883956342006735e-284,False
AnkleForce_y,0.49160002952473614,1.6648325369867012e-268,False
AnkleForce_z,0.6386976623842633,0.0,False
KneeForce_x,0.5821550774870001,0.0,False
KneeForce_y,0.49441643459303797,8.49730228127424e-272,False
KneeForce_z,0.9999999999998331,0.0,False
HipForce_x,0.8147243013208842,0.0,False
HipForce_y,0.5177947506122771,4.3880068144126244e-300,False
HipForce_z,0.9999999998692184,0.0,False
AnkleMoment_x,0.9956811576328042,0.0,False
AnkleMoment_y,0.9617735503122801,0.0,False
AnkleMoment_z,0.9743845453479406,0.0,False
KneeMoment_x,1.0,0.0,False
KneeMoment_y,0.9826739269539311,0.0,False
KneeMoment_z,0.9635200410611405,0.0,False
HipMoment_x,1.0,0.0,False
HipMoment_y,0.9855766118812537,0.0,False
HipMoment_z,0.990374293997154,0.0,False
AnklePower_z,0.6508029821532939,0.0,False
KneePower_z,0.8636644488621341,0.0,False
HipPower_z,0.6700513627492751,0.0,False
AnkleAngles_x',1.0,0.0,False
AnkleAngles_y',0.9999988774008146,0.0,False
AnkleAngles_z',1.0,0.0,False
KneeAngles_x',0.9999999999402632,0.0,False
KneeAngles_y',0.999999958389024,0.0,False
KneeAngles_z',0.9896258169969235,0.0,False
HipAngles_x',1.0,0.0,False
HipAngles_y',1.0,0.0,False
HipAngles_z',1.0,0.0,False
FootProgressAngles_x',0.6976097890877657,0.0,False
FootProgressAngles_y',0.9998878729740177,0.0,False
FootProgressAngles_z',0.9999999999999907,0.0,False
PelvisAngles_x',0.9964021252844059,0.0,False
PelvisAngles_y',0.9999991660934341,0.0,False
PelvisAngles_z',0.9999999999999782,0.0,False
AnkleForce_x',1.0,0.0,False
AnkleForce_y',0.9956181615664834,0.0,False
AnkleForce_z',1.0,0.0,False
KneeForce_x',1.0,0.0,False
KneeForce_y',0.999900388611024,0.0,False
KneeForce_z',1.0,0.0,False
HipForce_x',1.0,0.0,False
HipForce_y',0.9999883154344053,0.0,False
HipForce_z',1.0,0.0,False
AnkleMoment_x',1.0,0.0,False
AnkleMoment_y',1.0,0.0,False
AnkleMoment_z',1.0,0.0,False
KneeMoment_x',1.0,0.0,False
KneeMoment_y',1.0,0.0,False
KneeMoment_z',1.0,0.0,False
HipMoment_x',1.0,0.0,False
HipMoment_y',1.0,0.0,False
HipMoment_z',1.0,0.0,False
AnklePower_z',1.0,0.0,False
KneePower_z',1.0,0.0,False
HipPower_z',0.99999993884182,0.0,False
AnkleAngles_x'',1.0,0.0,False
AnkleAngles_y'',1.0,0.0,False
AnkleAngles_z'',1.0,0.0,False
KneeAngles_x'',1.0,0.0,False
KneeAngles_y'',1.0,0.0,False
KneeAngles_z'',1.0,0.0,False
HipAngles_x'',1.0,0.0,False
HipAngles_y'',1.0,0.0,False
HipAngles_z'',1.0,0.0,False
FootProgressAngles_x'',1.0,0.0,False
FootProgressAngles_y'',1.0,0.0,False
FootProgressAngles_z'',1.0,0.0,False
PelvisAngles_x'',1.0,0.0,False
PelvisAngles_y'',1.0,0.0,False
PelvisAngles_z'',1.0,0.0,False
AnkleForce_x'',1.0,0.0,False
AnkleForce_y'',1.0,0.0,False
AnkleForce_z'',1.0,0.0,False
KneeForce_x'',1.0,0.0,False
KneeForce_y'',1.0,0.0,False
KneeForce_z'',1.0,0.0,False
HipForce_x'',1.0,0.0,False
HipForce_y'',1.0,0.0,False
HipForce_z'',1.0,0.0,False
AnkleMoment_x'',1.0,0.0,False
AnkleMoment_y'',1.0,0.0,False
AnkleMoment_z'',1.0,0.0,False
KneeMoment_x'',1.0,0.0,False
KneeMoment_y'',1.0,0.0,False
KneeMoment_z'',1.0,0.0,False
HipMoment_x'',1.0,0.0,False
HipMoment_y'',1.0,0.0,False
HipMoment_z'',1.0,0.0,False
AnklePower_z'',1.0,0.0,False
KneePower_z'',1.0,0.0,False
HipPower_z'',1.0,0.0,False
