Variable,Statistic Value,P value,Normal
Fx,0.9468705058097839,2.1636749075069943e-20,False
Fy,0.9819082021713257,4.2359206420261586e-11,False
Fz,0.9307262897491455,3.727596862376157e-23,False
Cx,0.9468705058097839,2.1636749075069943e-20,False
Cy,0.9819082021713257,4.2359206420261586e-11,False
Cz,0.9307262897491455,3.727596862376157e-23,False
Mx,0.9468705058097839,2.1636749075069943e-20,False
My,0.9819082021713257,4.2359206420261586e-11,False
Mz,0.9307262897491455,3.727596862376157e-23,False
AnkleAngles_x,0.955929696559906,1.4771908218233491e-18,False
AnkleAngles_y,0.9621024131774902,3.818812970238041e-17,False
AnkleAngles_z,0.97757887840271,1.0533893635839009e-12,False
KneeAngles_x,0.9672138690948486,7.602210169462399e-16,False
KneeAngles_y,0.9045406579971313,9.553550066857618e-27,False
KneeAngles_z,0.9856261610984802,1.6289160020832583e-09,False
HipAngles_x,0.9901204109191895,3.1360937668978295e-07,False
HipAngles_y,0.9896131157875061,1.6317466133841663e-07,False
HipAngles_z,0.9862883687019348,3.3083957795554397e-09,False
FootProgressAngles_x,0.9574884176254272,3.2510270160768433e-18,False
FootProgressAngles_y,0.9221280813217163,1.9628525790561053e-24,False
FootProgressAngles_z,0.8402065634727478,4.29203587072537e-33,False
PelvisAngles_x,0.9707129597663879,7.146848962787632e-15,False
PelvisAngles_y,0.9981569647789001,0.21369586884975433,True
PelvisAngles_z,0.9939852356910706,9.035346010932699e-05,False
AnkleForce_x,0.7285146713256836,2.2834718995558624e-40,False
AnkleForce_y,0.9141080379486084,1.5612197031214151e-25,False
AnkleForce_z,0.6916989088058472,3.169737126302736e-42,False
KneeForce_x,0.9917474985122681,2.8982613002881408e-06,False
KneeForce_y,0.8396908044815063,3.896891607986535e-33,False
KneeForce_z,0.9797780513763428,6.453376028003888e-12,False
HipForce_x,0.9857689738273621,1.89469839817491e-09,False
HipForce_y,0.9083970785140991,2.8673112508056994e-26,False
HipForce_z,0.9521034955978394,2.31252350610824e-19,False
AnkleMoment_x,0.9637484550476074,9.683009337770244e-17,False
AnkleMoment_y,0.6516503691673279,4.764414778704378e-44,False
AnkleMoment_z,0.8891376256942749,1.623477452207668e-28,False
KneeMoment_x,0.985679030418396,1.7224641712942912e-09,False
KneeMoment_y,0.86798495054245,1.1711084403400475e-30,False
KneeMoment_z,0.8772296905517578,9.311176140772983e-30,False
HipMoment_x,0.9840085506439209,3.1227342933703994e-10,False
HipMoment_y,0.9010438323020935,3.630971131592811e-27,False
HipMoment_z,0.8313063979148865,8.383717545560712e-34,False
AnklePower_z,0.9653444290161133,2.4567624181827505e-16,False
KneePower_z,0.9636776447296143,9.2974988354397e-17,False
HipPower_z,0.9437717795372009,5.761662337149542e-21,False
AnkleAngles_x',0.9501046538352966,9.158450038133357e-20,False
AnkleAngles_y',0.9294593334197998,2.3756359989557138e-23,False
AnkleAngles_z',0.9609242677688599,1.996534742528211e-17,False
KneeAngles_x',0.974498987197876,1.00332062265545e-13,False
KneeAngles_y',0.9465097784996033,1.8494881232871995e-20,False
KneeAngles_z',0.888168215751648,1.2752425959844773e-28,False
HipAngles_x',0.8914728164672852,2.9238683599234677e-28,False
HipAngles_y',0.9318339824676514,5.555349083361067e-23,False
HipAngles_z',0.8051137328147888,9.91719397854795e-36,False
FootProgressAngles_x',0.9830378293991089,1.2168795138212118e-10,False
FootProgressAngles_y',0.8906847238540649,2.394721996597991e-28,False
FootProgressAngles_z',0.9260134696960449,7.189571005101192e-24,False
PelvisAngles_x',0.9819470047950745,4.3890589079831344e-11,False
PelvisAngles_y',0.9706035256385803,6.645042504395187e-15,False
PelvisAngles_z',0.978249192237854,1.8069967180553426e-12,False
AnkleForce_x',0.9832624793052673,1.5088248705996676e-10,False
AnkleForce_y',0.7326337099075317,3.793006657265128e-40,False
AnkleForce_z',0.9566851854324341,2.1596234091784522e-18,False
KneeForce_x',0.9761357307434082,3.4134739305968775e-13,False
KneeForce_y',0.9539960622787476,5.70650139410466e-19,False
KneeForce_z',0.913196325302124,1.184438534151032e-25,False
HipForce_x',0.8895177841186523,1.7854890865419527e-28,False
HipForce_y',0.8196769952774048,1.097238339892438e-34,False
HipForce_z',0.9193924069404602,8.101698132080681e-25,False
AnkleMoment_x',0.979383111000061,4.618074152251683e-12,False
AnkleMoment_y',0.8406192064285278,4.637658025832001e-33,False
AnkleMoment_z',0.8957685232162476,8.858598853875888e-28,False
KneeMoment_x',0.9462321996688843,1.640009479919547e-20,False
KneeMoment_y',0.9322645664215088,6.495820219323418e-23,False
KneeMoment_z',0.8742541074752808,4.715824162504548e-30,False
HipMoment_x',0.7811445593833923,2.5534050316736462e-37,False
HipMoment_y',0.7733280062675476,8.30219341783247e-38,False
HipMoment_z',0.8729883432388306,3.544337401062632e-30,False
AnklePower_z',0.9429684281349182,4.124784188212906e-21,False
KneePower_z',0.9315963983535767,5.097635893389369e-23,False
HipPower_z',0.5968101620674133,0.0,False
AnkleAngles_x'',0.921258270740509,1.4777169274110244e-24,False
AnkleAngles_y'',0.8673743605613708,1.025397451996299e-30,False
AnkleAngles_z'',0.9169306755065918,3.7250122878100974e-25,False
KneeAngles_x'',0.7857964038848877,5.06069815135308e-37,False
KneeAngles_y'',0.7438628673553467,1.563703351146206e-39,False
KneeAngles_z'',0.7949166893959045,2.0048547975403928e-36,False
HipAngles_x'',0.7353733777999878,5.334631149807433e-40,False
HipAngles_y'',0.7857555747032166,5.030118455745198e-37,False
HipAngles_z'',0.8005440831184387,4.805342200271445e-36,False
FootProgressAngles_x'',0.9478090405464172,3.266558210956927e-20,False
FootProgressAngles_y'',0.8895069360733032,1.7806400764244717e-28,False
FootProgressAngles_z'',0.9530612826347351,3.640673390450879e-19,False
PelvisAngles_x'',0.9391425251960754,8.793758909586763e-22,False
PelvisAngles_y'',0.7792196869850159,1.9305410925387683e-37,False
PelvisAngles_z'',0.8871162533760071,9.831449865215289e-29,False
AnkleForce_x'',0.809567928314209,2.0363511082576813e-35,False
AnkleForce_y'',0.6818149089813232,1.080401115994434e-42,False
AnkleForce_z'',0.42380934953689575,0.0,False
KneeForce_x'',0.14211148023605347,0.0,False
KneeForce_y'',0.6374667882919312,1.1210387714598537e-44,False
KneeForce_z'',0.811629056930542,2.853780581475514e-35,False
HipForce_x'',0.29486703872680664,0.0,False
HipForce_y'',0.5312113761901855,0.0,False
HipForce_z'',0.8170409202575684,7.022046815292882e-35,False
AnkleMoment_x'',0.47950780391693115,0.0,False
AnkleMoment_y'',0.8233748078346252,2.0704119754277187e-34,False
AnkleMoment_z'',0.725965678691864,1.6732624702809776e-40,False
KneeMoment_x'',0.16531187295913696,0.0,False
KneeMoment_y'',0.46152031421661377,0.0,False
KneeMoment_z'',0.6856905221939087,1.6423218001886856e-42,False
HipMoment_x'',0.4558831453323364,0.0,False
HipMoment_y'',0.46436673402786255,0.0,False
HipMoment_z'',0.39616596698760986,0.0,False
AnklePower_z'',0.9170933961868286,3.9192480850839438e-25,False
KneePower_z'',0.7616260051727295,1.635031965317575e-38,False
HipPower_z'',0.1761401891708374,0.0,False
